,idx_2004,No_2004,Type_2004,State_2004,Winning Candidate_2004,Party_2004,Electors_2004,Votes_2004,Turnout_2004,Margin_2004,Margin %_2004,idx_2009,No_2009,Type_2009,State_2009,Winning Candidate_2009,Party_2009,Electors_2009,Votes_2009,Turnout_2009,Margin_2009,Margin %_2009,idx,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,idx_2019,No_2019,Type_2019,State_2019,Winning Candidate_2019,Party_2019,Electors_2019,Votes_2019,Turnout_2019,Margin_2019,Margin %_2019,idx_2024,No_2024,Type_2024,State_2024,Winning Candidate_2024,Party_2024,Electors_2024,Votes_2024,Turnout_2024,Margin_2024,Margin %_2024
Aligarh,9.0,72.0,GEN,Uttar Pradesh [2000 Onwards],Bijendra Singh,Indian National Congress,"13,41,254","6,33,500",47.2 %,"2,791",0.4%,11.0,15.0,GEN,Uttar Pradesh [2000 Onwards],Raj Kumari Chauhan,Bahujan Samaj Party,1345351.0,694110.0,51.6 %,16557.0,2.4%,11.0,15.0,GEN,Uttar Pradesh [2000 Onwards],Satish Kumar,Bharatiya Janta Party,1793126.0,1064357.0,59.4 %,286736.0,26.9%,11.0,15.0,GEN,Uttar Pradesh [2000 Onwards],Satish Kumar Gautam,Bharatiya Janta Party,"18,47,005","11,63,184",63.3 %,"2,29,261",19.7%,11.0,15.0,GEN,Uttar Pradesh [2000 Onwards],Satish Kumar Gautam,Bharatiya Janta Party,"19,97,234","11,33,366",56.7 %,"15,647",1.4%
Alipurduars,10.0,2.0,ST,West Bengal,Joachim Baxla,Revolutionary Socialist Party,"10,45,042","8,37,257",80.1 %,"1,45,124",17.3%,12.0,2.0,ST,West Bengal,Manohar Tirkey,Revolutionary Socialist Party,1229301.0,934622.0,76.0 %,112822.0,12.1%,12.0,2.0,ST,West Bengal,Dasrath Tirkey,All India Trinamool Congress,1470911.0,1223566.0,83.2 %,21397.0,1.7%,12.0,2.0,ST,West Bengal,John Barla,Bharatiya Janta Party,"15,27,563","13,80,217",91.7 %,"2,43,989",17.7%,12.0,2.0,ST,West Bengal,Manoj Tigga,Bharatiya Janta Party,"17,73,252","14,21,389",80.2 %,"75,447",5.3%
Allahabad,11.0,52.0,GEN,Uttar Pradesh [2000 Onwards],Raman Singh,Samajwadi Party,"15,58,094","6,56,450",42.1 %,"28,383",4.3%,13.0,52.0,GEN,Uttar Pradesh [2000 Onwards],Raman Singh,Samajwadi Party,1267492.0,550220.0,43.4 %,34920.0,6.3%,13.0,52.0,GEN,Uttar Pradesh [2000 Onwards],Shyama Charan Gupta,Bharatiya Janta Party,1666569.0,891582.0,53.5 %,62009.0,7.0%,13.0,52.0,GEN,Uttar Pradesh [2000 Onwards],Rita Bahuguna Joshi,Bharatiya Janta Party,"16,79,883","8,89,056",53.4 %,"1,84,275",20.7%,13.0,52.0,GEN,Uttar Pradesh [2000 Onwards],Ujjwal Raman Singh,Indian National Congress,"18,25,730","9,47,000",51.9 %,"58,795",6.2%
Almora,13.0,3.0,SC,Uttarakhand,Bachi Singh Rawat,Bharatiya Janta Party,"10,12,756","5,04,756",49.8 %,"10,052",2.0%,14.0,3.0,SC,Uttarakhand,Pradeep Tamta,Indian National Congress,1057379.0,481891.0,45.6 %,6950.0,1.4%,14.0,3.0,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,1254328.0,656525.0,52.3 %,95690.0,14.6%,14.0,3.0,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,"12,87,611","6,94,472",55.1 %,"2,32,986",33.5%,14.0,3.0,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,"13,39,327","6,68,497",49.9 %,"2,34,097",35.0%
Alwar,14.0,8.0,GEN,Rajasthan,Dr. Karan Singh Yadav,Indian National Congress,"12,62,622","5,40,451",42.8 %,"8,371",1.5%,15.0,8.0,GEN,Rajasthan,Jitendra Singh,Indian National Congress,1373384.0,762306.0,55.5 %,156619.0,20.5%,15.0,8.0,GEN,Rajasthan,Chand Nath,Bharatiya Janta Party,1628067.0,1062305.0,65.3 %,283895.0,26.7%,15.0,8.0,GEN,Rajasthan,Balak Nath,Bharatiya Janta Party,"20,59,180","12,65,674",61.7 %,"3,29,971",26.1%,15.0,8.0,GEN,Rajasthan,Bhupender Yadav,Bharatiya Janta Party,"20,59,888","12,53,438",60.9 %,"48,282",3.9%
Amalapuram,15.0,9.0,SC,Andhra Pradesh,G.V. Harsha Kumar,Indian National Congress,"9,04,207","7,02,715",77.7 %,"41,485",5.9%,16.0,24.0,SC,Andhra Pradesh,G.V.Harsha Kumar,Indian National Congress,1275287.0,1027127.0,80.5 %,40005.0,3.9%,16.0,24.0,SC,Andhra Pradesh [2014 Onwards],Dr Pandula Ravindra Babu,Telugu Desam,1357866.0,1120927.0,82.6 %,120576.0,10.8%,16.0,7.0,,Andhra Pradesh [2014 Onwards],Chinta Anuradha,Yuvajana Sramika Rythu Congress Party,"11,56,280","12,32,895",108.1 %,"39,795",3.2%,16.0,7.0,SC,Andhra Pradesh [2014 Onwards],G M Harish (BALAYOGI),Telugu Desam,"15,31,410","13,01,106",85.0 %,"3,42,196",26.3%
Ambala,16.0,1.0,SC,Haryana,Selja,Indian National Congress,"11,99,338","8,47,673",70.7 %,"2,34,935",27.7%,17.0,1.0,SC,Haryana,Selja,Indian National Congress,1264907.0,866507.0,68.5 %,14570.0,1.7%,17.0,1.0,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,1692227.0,1218995.0,72.0 %,340074.0,27.9%,17.0,1.0,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,"17,57,524","13,16,235",75.3 %,"3,42,345",26.0%,17.0,1.0,SC,Haryana,Varun Chaudhry,Indian National Congress,"19,96,708","13,46,722",67.5 %,"49,036",3.6%
Ambedkar Nagar,,,,,,,,,,,,18.0,55.0,GEN,Uttar Pradesh [2000 Onwards],Rakesh Pandey,Bahujan Samaj Party,1494838.0,810886.0,54.3 %,22736.0,2.8%,18.0,55.0,GEN,Uttar Pradesh [2000 Onwards],Hari Om Pandey,Bharatiya Janta Party,1718774.0,1034404.0,60.2 %,139429.0,13.5%,18.0,55.0,GEN,Uttar Pradesh [2000 Onwards],Ritesh Pandey,Bahujan Samaj Party,"17,44,287","10,90,152",63.2 %,"95,880",8.8%,18.0,55.0,GEN,Uttar Pradesh [2000 Onwards],Lalji Verma,Samajwadi Party,"19,11,297","11,77,062",61.6 %,"1,37,247",11.7%
Amethi,17.0,21.0,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,"13,24,991","5,89,559",44.5 %,"2,90,853",49.3%,19.0,37.0,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,1431787.0,646653.0,45.2 %,370198.0,57.2%,19.0,37.0,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,1669843.0,874625.0,52.4 %,107903.0,12.3%,19.0,37.0,GEN,Uttar Pradesh [2000 Onwards],Smriti Irani,Bharatiya Janta Party,"17,03,510","9,42,453",55.6 %,"55,120",5.8%,19.0,37.0,GEN,Uttar Pradesh [2000 Onwards],Kishori Lal,Indian National Congress,"17,96,098","9,80,671",54.6 %,"1,67,196",17.0%
Amravati,18.0,21.0,GEN,Maharashtra,Anant Gudhe,Shiv Sena,"12,04,881","6,75,653",56.1 %,"14,234",2.1%,20.0,7.0,SC,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,1423855.0,732573.0,51.5 %,61716.0,8.4%,20.0,7.0,SC,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,1611365.0,1004061.0,62.3 %,137932.0,13.7%,20.0,7.0,SC,Maharashtra,Navnit Ravi Rana,Independent,"17,52,097","11,12,385",63.8 %,"36,951",3.3%,20.0,7.0,SC,Maharashtra,Balwant Baswant Wankhade,Indian National Congress,"18,36,078","11,73,579",63.9 %,"19,731",1.7%
Amreli,19.0,7.0,GEN,Gujarat,Nilaben Virjibhai Thummar,Indian National Congress,"10,25,515","4,75,548",46.4 %,"2,030",0.4%,21.0,14.0,GEN,Gujarat,Kachhadia Naranbhai,Bharatiya Janta Party,1312733.0,524642.0,40.0 %,37317.0,7.1%,21.0,14.0,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,1486286.0,808816.0,54.4 %,156232.0,19.3%,21.0,14.0,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,"16,02,346","9,09,167",57.8 %,"2,01,431",22.2%,21.0,14.0,GEN,Gujarat,Bharatbhai Manubhai Sutariya,Bharatiya Janta Party,"17,32,810","8,76,426",50.6 %,"3,21,068",36.6%
Amritsar,20.0,2.0,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,"12,92,902","7,11,808",55.1 %,"1,09,532",15.4%,22.0,2.0,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,1241099.0,814503.0,65.6 %,6858.0,0.8%,22.0,2.0,GEN,Punjab,Captain Amarinder Singh,Indian National Congress,1477262.0,1007196.0,68.2 %,102770.0,10.2%,22.0,2.0,GEN,Punjab,Gurjeet Singh Aujla,Indian National Congress,"14,68,972","8,59,513",59.1 %,"99,626",11.6%,22.0,2.0,GEN,Punjab,Gurjeet Singh Aujla,Indian National Congress,"16,11,263","9,05,656",56.2 %,"40,301",4.4%
Amroha,21.0,2.0,GEN,Uttar Pradesh [2000 Onwards],Harish Nagpal,Independent,"13,42,541","8,85,155",65.9 %,"17,884",2.0%,23.0,9.0,GEN,Uttar Pradesh [2000 Onwards],Devendra Nagpal,Rashtriya Lok Dal,1173915.0,706599.0,60.2 %,92083.0,13.0%,23.0,9.0,GEN,Uttar Pradesh [2000 Onwards],Kanwar Singh Tanwar,Bharatiya Janta Party,1544242.0,1095860.0,71.0 %,158214.0,14.4%,23.0,9.0,GEN,Uttar Pradesh [2000 Onwards],Kunwar Danish Ali,Bahujan Samaj Party,"15,96,897","11,69,182",73.6 %,"63,248",5.4%,23.0,9.0,GEN,Uttar Pradesh [2000 Onwards],Kanwar Singh Tanwar,Bharatiya Janta Party,"17,16,641","11,10,690",64.7 %,"28,670",2.6%
Anakapalli,22.0,6.0,GEN,Andhra Pradesh,Chalapathirao Pappala,Telugu Desam,"10,23,113","7,81,746",76.4 %,"15,414",2.0%,24.0,22.0,GEN,Andhra Pradesh,Sabbam Hari,Indian National Congress,1331695.0,1051708.0,79.0 %,52912.0,5.0%,24.0,22.0,GEN,Andhra Pradesh [2014 Onwards],Muttamsetti Srinivasa Rao (AVANTHI),Telugu Desam,1401474.0,1148072.0,81.9 %,47932.0,4.2%,24.0,5.0,,Andhra Pradesh [2014 Onwards],Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,"13,97,335","12,38,491",91.1 %,"89,192",7.2%,24.0,5.0,,Andhra Pradesh [2014 Onwards],C.M.Ramesh,Bharatiya Janta Party,"15,96,916","13,25,332",83.0 %,"2,96,530",22.4%
Anand,23.0,20.0,GEN,Gujarat,Solanki Bharatsinh Madhavsinh,Indian National Congress,"11,45,550","5,91,698",51.7 %,"61,085",10.3%,25.0,16.0,GEN,Gujarat,Solanki Bharatbhai Madhavsinh,Indian National Congress,1397162.0,676072.0,48.4 %,67318.0,10.0%,25.0,16.0,GEN,Gujarat,Dilip Patel,Bharatiya Janta Party,1496859.0,970894.0,64.9 %,63426.0,6.5%,25.0,16.0,GEN,Gujarat,Patel Mitesh Rameshbhai (BAKABHAI),Bharatiya Janta Party,"16,14,307","11,08,661",69.8 %,"1,97,718",17.8%,25.0,16.0,GEN,Gujarat,Mitesh Patel (BAKABHAI),Bharatiya Janta Party,"17,80,182","11,67,969",65.6 %,"89,939",7.7%
Anandpur Sahib,,,,,,,,,,,,26.0,6.0,GEN,Punjab,Ravneet Singh,Indian National Congress,1338596.0,904606.0,67.6 %,67204.0,7.4%,26.0,6.0,GEN,Punjab,Prem Singh Chandumajra,Shiromani Akali Dal,1564721.0,1086563.0,69.4 %,23697.0,2.2%,26.0,6.0,GEN,Punjab,Manish Tewari,Indian National Congress,"16,48,822","10,81,727",66.7 %,"46,884",4.3%,26.0,6.0,GEN,Punjab,Malvinder Singh Kang,Aam Aadmi Party,"17,32,211","10,77,123",62.2 %,"10,846",1.0%
Anantapur,24.0,25.0,GEN,Andhra Pradesh,Anantha Venkata Rami Reddy,Indian National Congress,"12,80,923","8,73,370",68.2 %,"73,404",8.4%,27.0,36.0,GEN,Andhra Pradesh,Anantha Venkata Rami Reddy,Indian National Congress,1411460.0,1002775.0,71.1 %,77921.0,7.8%,27.0,36.0,GEN,Andhra Pradesh [2014 Onwards],J.C. Divakar Reddi,Telugu Desam,1536912.0,1205054.0,78.4 %,61269.0,5.1%,27.0,19.0,,Andhra Pradesh [2014 Onwards],Talari Rangaiah,Yuvajana Sramika Rythu Congress Party,"14,89,758","13,42,306",91.2 %,"1,41,428",10.5%,27.0,19.0,,Andhra Pradesh [2014 Onwards],Ambica G Lakshminarayana Valmiki,Telugu Desam,"17,67,591","14,40,428",81.5 %,"1,88,555",13.1%
Anantnag,25.0,3.0,GEN,Jammu & Kashmir,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,"9,98,905","1,46,632",14.7 %,"38,938",26.6%,28.0,3.0,GEN,Jammu & Kashmir,Mirza Mehboob Beg,Jammu & Kashmir National Conference,1176223.0,318726.0,27.1 %,5224.0,1.6%,28.0,3.0,GEN,Jammu & Kashmir,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,1301023.0,375279.0,28.8 %,65417.0,17.4%,28.0,3.0,,Jammu & Kashmir,Hasnain Masoodi,Jammu & Kashmir National Conference,"13,01,023","1,24,896",9.7 %,"6,676",5.3%,28.0,3.0,,Jammu & Kashmir,Mian Altaf Ahmad,Jammu & Kashmir National Conference,"18,36,576","10,26,148",55.9 %,"2,81,794",27.5%
Andaman & Nicobar Islands,26.0,1.0,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,"2,41,645","1,53,804",63.7 %,"30,500",19.8%,29.0,1.0,GEN,Andaman & Nicobar Islands,Shri. Bishnu Pada Ray,Bharatiya Janta Party,265108.0,170107.0,64.2 %,2990.0,1.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman And Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,29.0,1.0,GEN,Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janta Party,269360.0,190328.0,70.7 %,7812.0,4.1%,29.0,1.0,GEN,Andaman & Nicobar Islands,Kuldeep Rai Sharma,Indian National Congress,"2,69,360","2,07,296",77.5 %,"1,407",0.7%,29.0,1.0,GEN,Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janta Party,"3,15,148","2,02,514",64.3 %,"24,396",12.0%
Aonla,27.0,7.0,GEN,Uttar Pradesh [2000 Onwards],Kunwar Sarvraj Singh,Janata Dal (United),"11,45,865","5,36,458",46.8 %,"6,871",1.3%,30.0,24.0,GEN,Uttar Pradesh [2000 Onwards],Menka Gandhi,Bharatiya Janta Party,1310878.0,704611.0,53.8 %,7681.0,1.1%,30.0,24.0,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Kumar,Bharatiya Janta Party,1653577.0,995641.0,60.2 %,138429.0,13.9%,30.0,24.0,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Kashyap,Bharatiya Janta Party,"17,50,190","10,52,795",60.7 %,"1,13,743",10.8%,30.0,24.0,GEN,Uttar Pradesh [2000 Onwards],Neeraj Maurya,Samajwadi Party,"18,91,713","10,88,896",57.6 %,"15,969",1.5%
Arakkonam,28.0,6.0,SC,Tamil Nadu,"Velu, R.",Pattali Makkal Katchi,"11,60,259","7,73,529",66.7 %,"1,02,196",13.2%,31.0,7.0,GEN,Tamil Nadu,Jagathrakshakan,Dravida Munetra Kazhagam,1098607.0,854683.0,77.8 %,109796.0,12.8%,31.0,7.0,GEN,Tamil Nadu,Hari G.,All India Anna Dravida Munnetra Kazhagam,1401545.0,1089052.0,77.7 %,240766.0,22.1%,31.0,7.0,GEN,Tamil Nadu,S. Jagathrakshakan,Dravida Munetra Kazhagam,"14,61,110","11,78,060",81.5 %,"3,28,956",27.9%,31.0,7.0,GEN,Tamil Nadu,S Jagathratchakan,Dravida Munnetra Kazhagam,"15,62,871","11,63,822",74.5 %,"3,06,559",26.3%
Arambagh,29.0,28.0,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),"11,87,610","9,61,186",80.9 %,"5,92,502",61.6%,32.0,29.0,SC,West Bengal,Malik Sakti Mohan,Communist Party Of India (MARXIST),1375377.0,1163581.0,84.6 %,201558.0,17.3%,32.0,29.0,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,1600293.0,1361934.0,85.1 %,346845.0,25.5%,32.0,29.0,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,"16,31,133","14,71,981",91.5 %,"1,142",0.1%,32.0,29.0,SC,West Bengal,Bag Mitali,All India Trinamool Congress,"18,83,266","15,59,079",82.8 %,"6,399",0.4%
Arani,,,,,,,,,,,,33.0,12.0,GEN,Tamil Nadu,Krishnasswamy M,Indian National Congress,1097865.0,843076.0,76.8 %,106830.0,12.7%,33.0,12.0,GEN,Tamil Nadu,V.Elumalai,All India Anna Dravida Munnetra Kazhagam,1369668.0,1096046.0,80.0 %,243844.0,22.2%,33.0,12.0,GEN,Tamil Nadu,Vishnu Prasad M K,Indian National Congress,"14,07,725","11,43,907",82.5 %,"2,30,806",20.2%,33.0,12.0,GEN,Tamil Nadu,Tharaniventhan M S,Dravida Munnetra Kazhagam,"14,96,118","11,40,261",76.2 %,"2,08,766",18.3%
Araria,30.0,22.0,GEN,Bihar [2000 Onwards],Sukdeo Paswan,Bharatiya Janta Party,"11,84,962","6,52,439",55.1 %,"27,744",4.3%,34.0,9.0,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,1311225.0,730459.0,55.7 %,22502.0,3.1%,34.0,9.0,GEN,Bihar [2000 Onwards],Tasleem Uddin,Rashtriya Janata Dal,1587348.0,975811.0,61.5 %,146504.0,15.0%,34.0,9.0,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,"14,69,717","11,69,630",81.0 %,"1,37,241",11.7%,34.0,9.0,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,"20,18,767","12,52,560",62.1 %,"20,094",1.6%
Arrah,31.0,33.0,GEN,Bihar [2000 Onwards],Kanti Singh,Rashtriya Janata Dal,"13,60,794","7,87,780",57.9 %,"1,49,743",19.0%,35.0,32.0,GEN,Bihar [2000 Onwards],Meena Singh,Janata Dal (United),1555122.0,556364.0,35.8 %,74720.0,13.4%,35.0,32.0,GEN,Bihar [2000 Onwards],Raj Kumar Singh,Bharatiya Janta Party,1832332.0,893213.0,48.8 %,135870.0,15.2%,35.0,32.0,GEN,Bihar [2000 Onwards],R. K. Singh,Bharatiya Janta Party,"20,55,316","10,80,684",53.6 %,"1,47,285",13.6%,35.0,32.0,GEN,Bihar [2000 Onwards],Sudama Prasad,Communist Party Of India (Marxist-Leninist) (Liberation),"21,65,574","10,96,561",50.6 %,"59,808",5.5%
Aruku,,,,,,,,,,,,36.0,18.0,ST,Andhra Pradesh,Kishore Chandra Suryanarayana Deo Vyricherla,Indian National Congress,1182514.0,796043.0,67.3 %,192444.0,24.2%,36.0,18.0,ST,Andhra Pradesh [2014 Onwards],Kothapalli Geetha,Yuvajana Sramika Rythu Congress Party,1272724.0,909614.0,71.5 %,91398.0,10.0%,36.0,1.0,,Andhra Pradesh [2014 Onwards],Goddeti. Madhavi,Yuvajana Sramika Rythu Congress Party,"13,58,657","10,74,538",82.6 %,"2,24,089",20.9%,36.0,1.0,ST,Andhra Pradesh [2014 Onwards],Gumma Thanuja Rani,Yuvajana Sramika Rythu Congress Party,"15,54,633","11,64,445",74.9 %,"50,580",4.3%
Arunachal East,32.0,2.0,GEN,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,"2,89,606","1,62,704",56.2 %,"44,994",27.7%,37.0,2.0,GEN,Arunachal Pradesh,Ninong Ering,Indian National Congress,301173.0,214930.0,71.4 %,68449.0,31.8%,37.0,2.0,GEN,Arunachal Pradesh,Ninong Ering,Indian National Congress,312872.0,261291.0,83.5 %,12478.0,4.8%,37.0,2.0,GENP,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,"3,35,682","2,93,781",89.2 %,"69,948",23.8%,37.0,2.0,GENP,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,"3,75,310","3,23,443",86.2 %,"30,421",9.4%
